dataset_name,retriever,top_k,n,retrieval_precision,retrieval_recall,retrieval_f1,oracle_hit_rate,full_chain_coverage,distractor_id_rate,retrieved_passage_count,run_dir
twowiki_oncu_500,oracle,3,500,1.0,0.94,0.9656190476190476,1.0,0.762,0.0,2.238,outputs/reader_facing_retfam_twowiki500_qwen25
twowiki_oncu_500,oracle,8,500,1.0,1.0,1.0,1.0,1.0,0.0,2.48,outputs/reader_facing_retfam_twowiki500_qwen25
twowiki_oncu_500,oracle,16,500,1.0,1.0,1.0,1.0,1.0,0.0,2.48,outputs/reader_facing_retfam_twowiki500_qwen25
twowiki_oncu_500,dense,3,500,0.5635777777777777,0.6023333333333334,0.5448810522810523,0.702,0.472,0.22442222222222222,2.82,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,dense,8,500,0.5353126984126985,0.7215,0.5637247863247863,0.816,0.596,0.37268730158730157,4.132,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,dense,16,500,0.46721349206349205,0.8415,0.5476668553668553,0.902,0.756,0.5107865079365079,5.79,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,hybrid,3,500,0.5483333333333333,0.48433333333333334,0.5019238095238095,0.566,0.386,0.06566666666666666,1.444,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,hybrid,8,500,0.5719095238095238,0.5835,0.5510443001443002,0.67,0.478,0.1560904761904762,2.19,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,hybrid,16,500,0.5408039682539683,0.7256666666666667,0.5700455932955933,0.802,0.628,0.33119603174603174,3.948,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,lexical,3,500,0.5386666666666666,0.4678333333333333,0.48675238095238094,0.552,0.368,0.03333333333333333,1.284,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,lexical,8,500,0.5612047619047619,0.5348333333333334,0.5277704184704185,0.618,0.432,0.1267952380952381,1.826,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,lexical,16,500,0.5177230158730158,0.6231666666666666,0.5251544344544344,0.7,0.524,0.26027698412698413,3.018,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,oracle,3,500,1.0,0.94,0.9656190476190476,1.0,0.762,0.0,2.238,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,oracle,8,500,1.0,1.0,1.0,1.0,1.0,0.0,2.48,outputs/reader_facing_retfam_twowiki500_qwen3
twowiki_oncu_500,oracle,16,500,1.0,1.0,1.0,1.0,1.0,0.0,2.48,outputs/reader_facing_retfam_twowiki500_qwen3
